input	output
dailaqi gurun -i jobolon atanggi wajimbi,	战则国民罹祸，何时可已。
ineku orin duin de, enduringge han de uheri be baiqara yamun -i geren wesimburengge,	是日，都察院诸臣入奏圣汗曰：
tumen buqere qi funqehe irgen, enqu bade oljilabufi, baniha ba na be kidume ergen be xelefi ukame jime, jugvn de geqeme yuyume, bahafi weihun amasi isinjihangge, gvniqi tanggv de emken juwe akv,	逃过万劫之民，被俘于异地，思念故土，舍命逃归，冻饿于道，得以生还者，想百无一二。
honin aniya, gvsin jakvn se bihe,	未年生，享年三十八岁。
foloho umiyesun de fungku fadu hvwaitahai emke, xempi hafiraha gvlha de suje -i wase jibsihai emu juru, foloho jebele de beri niru sisihai emke,	系手帕荷包雕花腰带一、连缎袜绿斜皮靴一双、插有弓箭玲珑撒袋一、
monggo urut gurun qi ubaxame jihe minggan beile -i jui angkvn darhan hoxouqi nimeme akv oho de,	自蒙古厄鲁特部来归之贝勒明安之子昂坤达尔汉和硕齐病故时。
lii z gung, lii iu gung, jang xang u ilan nofi daqi gisurere de tuqifi gisurehe,	李子功、李有功、张尚武三人，初议降时曾出面协商，
erebe gvsai ejen beile sambi,	固山额真贝勒知之。
batma nirui janggin,	巴特玛系牛录章京，
hashv ergi galai qouha be, abatai taiji, ajige taiji gaifi genehe,	由台吉阿巴泰、阿济格率左翼兵前进，
ning yuwan de afafi emu feye baha seme jai jergi de buhe,	于宁远之役，被伤一处，列为二等赏之。
wara taijisa meljeqi, mukvn -i urse de fonji,	杀人台吉仍行争辩，即问其族人，
jai jergi dosika de, emu uksin etuhe monggo be jafafi gajiha,	诺门再次陷阵，获披甲蒙古人一名以还。
tere be bodorakv mini ujihe baili be urgedefi ukandara faquhvrara niyalma, abka be urgederengge kai,	彼不思是，负我养育之恩，背逆潜逃，是负天也。
wara be nakafi fujiyang ni hergen be efulehe,	免死，革副将职，
feye bahafi tuhekengge, umai jaka akv,	被创坠壕者无算，
juwan emu de, monggo beise de bithe buhe.	十一日，赐蒙古贝勒敕书。
mungtan -i giran, gori hiya -i giran, hoton -i hanqi tuhefi bahakv,	因孟坦与侍卫郭里死于城下，其尸未能收回。
morin be gaihakv bederebuhe,	其所献马匹却之。
simiyan be gaiha fonde, quwan bing ni qouhai karun kiyou de jifi ilihabi,	取沈阳时，敌船兵之哨探至，立于桥上，
bayara burhai juleri tafaka, de xeng pu de iliha qouha be gidaha,	护军布尔海先登，击败德胜堡驻兵。
manggvltai beile qouha be ilan baksan banjibufi,	贝勒莽古尔泰兵分三队，
gisun nimeme akv ofi, sirara bade akv seme nirui janggin be efulehe.	吉孙病故，不在承袭之例，故注销其牛录章京职。
seke dahv emke, gequheri emke, suje ilan, moqin samsu juwan, fulgiyan jafu emke,	汗赐貂皮端罩一、蟒缎一、缎三、毛青布十、红毡一、
sarin -i doroi geren beise susai nadan morin, sunja temen jafaha bihe,	诸贝勒以筵宴礼，进马五十七、驼五，
dade inggvldai se, qouhiyan gurun -i wang de aqaki seqi, qouhiyan gurun -i wang, dorgi geren beise -i unggihe bithe, tulergi goloi geren monggo beise -i unggihe bithe be alime gaijarakv,	先是，英古尔岱等至朝鲜请见国王，朝鲜国王竟不收其内诸贝勒及外藩蒙古诸贝勒书，
qouha ba bade tenehe be gemu sambi,	我军往各地驻守，人皆知之。
erei turgunde dehi sunja yan, emu morin gaiha,	故罚银四十五两、马一，
ineku orin de, daiqing gurun -i gosin onqo hvwaliyasun enduringge han -i hese, amba jiyanggiyvn qen du ming de unggihe,	是日，大清国宽温仁圣汗谕大将军陈杜明：
iqe sunja de, ning yuwan de elqin genehe fanggina, untasi isinjiha,	初五日，出使宁远之方吉纳、温塔希
buhe menggun be aqan dendeme takvraha niyalma suweni nikan -i kouli gaijara yaya ba -i niyalma ulin ume bure,	所付银两，合分，所遣之人，按尔汉人之例取之。各地之人不得付给财物，
qiyanzung, bazung de juwete yan buhe menggun be, ma fujiyang ini beye gamame genefi xangname bufi jihe,	千总、把总，各赏银二两，其赏银由马副将亲自赍往赏责而还。
tung yan endeme qalame weile baha de, xajin -i tuhere weile gaimbi,	倘失职获罪，依法赎罪。
morin be ukanju de gaiburahv,	又恐马匹为逃人盗去，
minde jibqa akv,	我无皮袄可穿，
atanggi jobobumbihe,	何曾受苦。
xeubei be tukiyefi iugi obuha,	至是擢为游击，
han, beise -i aqara de, qouha genehe taijisa ambasa, okdoko taijisa ambasa meni meni ergide dahame niyakvraha,	汗与诸贝勒相见时，出征台吉诸臣及来迎台吉诸臣，分别随礼跪拜。
hafan bisire niyalma oqi, ini hafan -i jergi de haha guwehe,	有官职之人，俱照官职品级免其丁役：
jakvn biyai iqe de, non -i korqin -i ilduqi beile eigen sargan genehe,	八月初一日，遣嫩科尔沁部伊勒都齐贝勒夫妇还，
liuge be jafaha, ahvn deu -i yaluha juwe morin be jafaha,	捕获六哥，获其兄弟所乘二马来献。
boude bihe amin beile, xoto taiji, emu nirui orita uksin be, yung ping de tehe ilan taiji qouhai niyalma be halame gene seme unggire de,	故命留守阿敏贝勒、岳托台吉率每牛录甲兵二十往代驻永平之三台吉及其军士。
guru taiji be waha,	杀其台吉古鲁，
amba beile, amin beile, xoto taiji, gulu fulgiyan, kubuhe fulgiyan, kubuhe lamun -i gvsa be gaifi ginjeu golo be feksifi, ginjeu heqen be kaha,	大贝勒、贝勒阿敏、台吉硕托率正红、镶红、镶蓝旗，进略锦州一带，困锦州城。
iqe ninggun de, gulu xanggiyan -i bahi nimeme akv ofi, jui sihan be ineku nirui hontoho janggin siraha,	初六日，正白旗下巴希病故，以其子锡翰仍袭半个牛录章京职。
yaya baita gisun de meni meni jurgan -i doron be takvra seme henduhe.	凡通行文书，概用各部印行。”
tereqi meni ilan tanggv gvsin haha, nadan tanggv susai ninggun angga be te uthai jafafi benju,	“将我男丁三百三十人、七百五十六口，今即执送前来。
erei oron de toudaha haha be gidafi takvrambi,	遂隐匿其所赔男丁役使；
tu qi lakqafi emhun dosika be beile saha,	又离纛独自进击，贝勒知之。
sunja biyai juwan de, luwan jeu be nikan qouha kafi, ilan inenggi ilan dobori afaqi, ini beye dame generakv,	五月初十日，明兵围滦州，攻三昼夜，彼不前往救援，
jase jeqen be qiralame tuwakiyanduki, hvlhame jase dabame yabure be lashalame nakabu sere gisun ambula mujangga seme elqin jihe.	“严守疆界，禁绝私越边境之言甚是。”
heqen be afara de wabuhai dabala, baha manggi, qouhai niyalma be emkeqi wahakv, gemu meni meni boude hehe juse de aqana seme sindafi unggihe,	除攻城时被杀者外，克城之后，其未杀之人皆释之还家，与妻子完聚。
sini banjiha eshen be waha, geli sini beyebe warahv seme geleme, amba niyalmai jui serengge tere wakau,	此非因尔亲叔被杀，又恐杀及尔身，故称为大人之女耶。
muse de teisulebuhe bata be muse uhei hvsutuleme kiqeme afaqi, abka gosime, bata niyalma be gidame eberembure ohode, muse oihori sain kai,	我等果能同仇敌忾，则天必眷佑我等，削弱敌势，究为善事也。
udu komso seme emu tumen geli baharakv doro biu,	我国有万名俘虏进入，
dorolon -i jurgan saikan ulhibume selgiye.	着礼部传谕周知。”
ara nomqi -i juwe morin, juwe temen be youni gaiha,	汗纳阿喇诺木齐二马、二驼，
lu geu kiyou -i qouha be geren -i gidara de, mini teisu gidaha,	众击卢沟桥兵时，我败对面之敌。
baktandarakv mujangga, meiren -i janggin qi wesihun hafasa, dele hengkilenjikini,	“实难容纳。梅勒章京以上各官至御前行礼，
nikan han sain ulin be tuqiburakv xajilafi, te ele qira ohobi,	上等货物，明帝禁止出境，今愈严矣。
alban gidaha,	隐匿赋税，
ese de unggihe bithei gisun,	书曰：
ineku iqe de, korqin -i hoxoi tusiyetu qin wang, hoxoi gungju, ini gurun de genere de, han -i buhengge,	是日，遣科尔沁部和硕土谢图亲王、和硕公主还。汗赐
terei amala, qahar -i han simbe waki seme qouha jihe de, be donjihai uthai beye joboro morin buqere be gvnirakv,	后察哈尔汗欲杀尔，兴兵来侵，时我闻之，不惜身受劳苦，马匹倒毙，
nikan meni juwe gurun, doro temxeme dailara de, suwe unenggi hafasa be wara,	我与明两国构兵争帝业，尔等果能杀其官吏，
niyalma oqi ishun axxambihe kai,	若为人，应动也。”
nikan gurun de jalingga koimali ambasa ambula,	在明国，奸臣甚多，
bi liyoudung be baha manggi, you jeu -i niyalma be aqinggiyahakv bihe seme wesibufi beiguwan -i hergen buhe,	我取辽东后，率耀州人众降有功，授以备御职。
beki qouhai ejen samsika,	步军将领萨木什喀，
ai ai weile be juwan qi qasi gisureki,	“一应之事，俟过初十日再议。
juwan emu de, wasimbuha bithei gisun,	十一日，颁书曰：
ere honin be suwe gaisu,	此羊，尔等可收之。
morin -i bethe be akdulame hvwaita,	马须紧系，
genere urse be fudeme genefi, amasi jidere de abalaha.	前去为之送行，返回时沿途打猎。
faquhvn yabuqi jafa sehe.	乱行者执究。”
uksin niyalma de gaijara jeku orho gemu baha,	甲兵所需粮草，皆已获得。
ulin ulha gaihakv,	未夺财畜，
tere ba -i monggo burulafi nikan -i jasei xurgei hoton de dosikabi seme alanjiha manggi,	该处蒙古人已逃入明境内杀虎口城等语。
enduringge han -i hese, doroi baturu giyvn wang, geren ambasa suwe abkai gosire de aqabume, gemu uhe hvsun -i kiqeme yabuha haran kai,	“多罗武英郡王及诸大臣，此皆尔等仰副天恤，协力勉为所致也。”
mini ujulaha amban inu wesihun elqin -i baru waqihiyame gisurehebi,	我为首大臣已与贵使臣尽言之也，
tusiyetu han ini geren beise be gaifi niyakvrame hengkileme aqaha,	土谢图汗率其众贝勒叩见。
mau wen lung ni tun de genehe de, mimbe yarna -i emgi ci’ iui to de unggifi, sunja quwan juwan emu niyalma bahambihe,	往毛文龙所居岛时，命我同雅尔纳往刺鱼坨，曾获敌船五及人十一名。
menggun -i dongmo emke, dobihi dahv emke, dambagu orin kiyan, bandu bele juwe sin, dabsun emu sin, fon fiyan, ulme tonggo, qai omire moro ilan,	银茶筒一、狐皮端罩一、烟二十刀、稻米二金斗、盐一金斗、胭脂、针线、茶碗三，
adahai saqa be gajifi na de maktara jakade, adahai be taizu -i etuhe saqa be na de maktaha seme susai xusiha tantaha,	阿达海携胄至，掷于地，遂以阿达海掷太祖御用胄于地鞭五十。
gingguleme weqehe,	敬谨致祭，
beise suwe miningge seme duriqi, suwende gelerakv we bi,	若尔诸贝勒强为己有而夺之，有不惧者乎。
hvsintai, mandai be tanggvta xusiha tantafi xan oforo tokofi niru boxoro be nakabuha,	胡辛泰、满岱各鞭一百，贯耳鼻，解牛录任。
jai beisei tabqilafi baha olji be, baha bade olji teisuleme, ojorakv turga morin -i qouhai niyalma be werifi, qasi gurun -i dube bisire teile genefi gaisu,	至诸贝勒掠获之俘虏，即于俘获之地酌留羸瘦马匹之兵看守，仍纵深掠至其边境。
sain mujilen jakvn hoxo be ujimbi,	仁育八方。
hoxoi erke qin wang tere inenggi bederefi, juwan ilan de hashv ergi gala -i qouha be gaifi, ilanggeri pou sindame qouha juraka.	和硕豫亲王当日还，于十三日率左翼兵，鸣炮三，启行。
jang douli -i suqungga qouha de yafahalafi juleri dosika,	首战张道台兵，徒步率先进击，
te iqe toktobufi aldangga hanqi be bodome kutule de gemu ilgame buhe,	今已新定，按其距离远近及跟役，俱分别赏之。
ere ukandarangge, ini qisui generengge inu bi, hafasa hebei unggirengge inu bi,	该逃人中，有出于己意出逃者，亦有官兵同谋而故纵者。
ere uheri jakvnju sunja uksin de olji buhekv faitaha.	共甲兵八十五人，均免赏。
orin duin de, gu an hiyan qi monggo -i aqifi gajiha moqin be, feyengge niyalma de xangname buhe.	二十四日，以蒙古自固安县驮来布匹，赏给受伤之人。
ineku tere inenggi, karaqin -i gunji -i jui daramdi emu qekemu duin da, emu suwayan suje, emu lamun suje, emu temen, emu morin,	是日，喀喇沁部衮吉之子达尔玛迪进倭缎四庹、黄缎一、蓝缎一、驼一、马一，
niyengniyeri elqin unggiki serede wesihun elqin neneme isinjire jakade ambula yertehe,	正欲遣春使往，适贵使臣先至，愧甚。
orin duin de, zun hvwa de takvraha bithei gisun,	二十四日，致遵化书云：
tere dedun de emu ihan juwe honin wafi, han, ini gvsai geren bayara, bayarai tui ejete, kirui ejete, monggo taijisa, dalingho -i iqe nikan hafasa be sarilaha,	于驻地，汗命杀牛一、羊二，集本旗众护军、护军纛额真、旗额真、诸蒙古台吉及大凌河新降汉官等宴之。
han -i sain gvnin be abka na sambi dere,	汗之美意，天地共鉴之。
juwe morin baha seme, nirui janggin be ilaqi jergi jalan -i janggin obuha,	获马二。因擢牛录章京为三等甲喇章京，
suwe geneqi, be dahame geneki, membe ainu werifi genembi, suwembe genehe de, ere jihe beile de, meni ergen guwerakv, urunakv buqembi sehebi,	“尔等若去，我等愿随往，何故留我等而去。尔等去后，该贝勒至，我等将性命难保，必死无疑也。”
uju jergi xusai -i jergi de juwe haha kamqibuha.	按一等生员之例，使其兼管男丁两名。
iqe jakvn de, asan yafahan juwan niyalma, moringga emu niyalma be weihun jafafi benjihe,	初八日，阿山生擒明步兵十人、马兵一人解至。
bi tondo mujilen -i ejen -i jalin faxxaqi, amaga niyalma inu tondo mujilen -i ejen -i jalin faxxambi kai,	臣若以忠心为主效力，后人亦以忠心为主效力也。
juwan ninggun de, sidangga, olika be pan giya keu -i duka de bithe bene sehengge, jase be beki, geneqi ojorakv seme amasi bedereme jihe manggi,	十六日，先是，遣席当阿、鄂里喀赍书往潘家口，因边隘坚固，不可前进，遂还。
tere inenggi, xanaha -i jau zung bing guwan, liu fujiyang, g’au fujiyang, wang fujiyang, canjiyang, iugi uyun, duin minggan siliha qouha gaifi,	是日，山海关赵总兵官、刘副将、高副将及王副将、参将、游击九员率精兵四千来援遵化。
suweni hvsun be alime etehekv qouha gidabuha,	因不能挡，为尔所败。
suwende xangnara bure be bi elerakv kai seme hendufi,	虽加赏赉，我犹以为不足也。”谕毕，
ya burulaha beise ambasai boigon ulha ulin ai ai jaka biqi, qouhai ejete ejen arafi afabufi ejeme gaibu,	凡溃逃之诸贝勒大臣等所遗家产及牲畜财帛等物，各主将即拨主守之人登记收贮。
han -i falan de qouha genehe fonde, han -i jihe amala, luwan jeu de tutafi yabuha sain seme ni gidaha bihe,	进兵明内地，汗班师后，令其留守滦州。念其戮力行间，记功，
jai yangguri efu, babutai age be tehe baqi boude jifi te,	再命杨古利额驸及巴布泰阿哥，自驻守地撤回沈阳守城。
han, galju be si baturu oqi, tusangga dain de baturulaqina, tusa akv tasha de ai baturu, mini jakade ume bisire seme ambula beqeme henduhe.	汗切责噶勒珠曰：“尔果勇，施于战阵，乃为有益，而用于无益之虎，勇乎。嗣后勿侍御前。”
faidan -i jaka be dagila seme hoxoi fujisa, gurun -i gungju sede jakvnjuta yan menggun, doroi fujisa, hoxoi gungju sede ninjute yan, doroi beile -i sargan fujisa de dehite yan buhe.	赐和硕福晋、固伦公主等银各八十两，多罗福晋、和硕公主等银各六十两，多罗贝勒福晋等银各四十两，命其治备仪仗。
efu -i emu sula morin, hatan baturu -i juwe sula morin be gaiha,	纳额驸空马一、哈坦巴图鲁空马二，
tereqi doroi bayan beile, jergi qi lakqaha ujui gung yangguri, gvsai beise fiyanggv, aiduri, majan, tunqi, bolo, hoto, durhu, ere geren buya gvsai beise se, siran siran -i ahvn -i bodome, wang ni aqaha songkoi tebeliyeme aqaha,	次多罗饶余贝勒，超品公杨古利，固山贝子费扬古、艾都里、马占、屯齐、博洛、和托、杜尔祜等诸小固山贝子等，各依齿序，俱如王相继行抱见礼。
nendeme yuwan du tang meni baru aqaki seme gisurere de, emdubei gisurembime emdubei ibeme hoton sahara jakade, be doro gisurembime ba ainu ibembi,	先是，袁都堂与我议和时，彼一面议和，一面进而筑城。我谓方讲和事，何为相逼。
bi dain nakaki taifin banjiki seme jing bithe unggimbi,	我本欲罢兵修好，共享太平，故而屡屡遗书，
tolbotu be kalka de tehekv dahame jihe seme, gosime darhan -i gebu bufi ejehe buhe.	“扎尔博图弃喀尔喀来归，当优恤之。赐名达尔汉，给以敕书。”
qahar han, kalka be efulefi gamafi, beise -i dele juxen niyalma be daruga sindara,	察哈尔汗破喀尔喀，私分诸贝勒之诸申人等，
i dere arame weilengge xoto de amasi buki sehe,	彼欲沽恩于有罪之硕托，奏请还之。
ede kubuhe fulgiyan akv,	此次，唯镶红旗未赏。
wang be huwekiyebuhe ambasa qouha irgen wang simbe dahambiu,	彼劝王之臣及军民等皆从王乎。
gvsin de, enduringge han, doroi baturu giyvn wang ajige, doroi bayan beile abatai, jergi qi lakqaha ujui gung yangguri efu,	三十日，圣汗遣多罗武英郡王阿济格、多罗饶余贝勒阿巴泰、超品一等公额驸杨古利、
kubuhe fulgiyan -i qen qu siyan, xui ing jo,	镶红旗陈楚贤、水英卓，
tere boui niyalma gemu sambi,	该家之人尽知之。
daqi mini yabun tere gese buya weile be ainaha seme deriburakv,	我之素行，断不为似此小事所怒，
tere serehekv arga de tuheke gojime, irgen -i ubaxahangge waka,	实乃彼等迷惘中计而已，非民叛者也。
qoshi -i ama jolbitai dade monggo -i tumet gurun -i beile bihe,	绰斯喜之父卓勒毕泰，原系蒙古土默特部贝勒。
iselerakv niyalma be ume wara,	杀之；其不抗拒者，勿杀。
juwe hafan de niruha enggemu tohoho emte morin, orhoda sunjata gin, seke tofohoto,	赐二使臣各彩绘鞍马一、人参五斤、貂皮十五。
sarin sarilame wajiha manggi, amasi meni meni tatan de genehe,	宴毕，各还营地。
gaxan -i xurdeme giyai de yabure de, han de kiru ilan juru, sara juwe, niyalma jailabure niyalma ninggun,	凡于屯寨周围街道行走时，于汗前用旗三对、伞二柄、校尉六人；
arjin, kvrqan, giuxan, tulai, ubai, asan, bangsu, ilemu, ere jakvn niyalma be, nikan qouha be dobori dosifi gidaha, hoton qi tuqifi waha sain seme sindaha,	遂以阿尔津、库尔禅、觉善、图赖、乌拜、阿山、邦素、伊勒穆等八人夜入敌阵，击败明兵，又出城歼之，洵属可嘉，而令释放。
jai jergi fujiyang han dai hiyvn, pei guwe jeng, sun ding liyou,	赏二等副将韩大勋、裴国珍、孙定辽等
emu morin baha,	获马一。
suweni emgi genere qouhai morin tarhvn, qalifi buqerahv seme henduhe gisun be jurqeme abalame genefi, genere de juwan nadan morin qalifi buqehe,	“与尔等同行兵丁之马匹俱肥壮，唯恐酷热，致有倒毙。”乃该员等违谕出猎，往时马匹倒毙十七匹，
juwan ninggun de, musei jafafi ujihe nikan be k’ai ping ni douli de takvraha,	十六日，遣所获汉人赍书遗开平道
jai tere tuba -i nikan bigan de tuqifi afame ohode enteheme ja,	又彼处明军若出城郊战，破之甚易。
han de niyakvrame habxafi, orin uksin qi fulu yafahan inu genehe,	跪告于汗，遂命除二十甲兵外可遣步兵往，
tumei lung de menggun nadanju yan, hvrha seke -i hayaha honqi doko pengduwan de puse ten ifiha burgiyen -i jibqa emke, iqehe seke -i mahala emke,	图美隆银七十两、虎尔哈貂披领羊皮里彭缎面缝蟒袱补袄一、熏貂帽一、
meni ajige gurun -i niyalma doro aqafi ulin bahara, aba abalame giyahvn maktame banjiqi, dule jirgaqun kai.	唯和好既成，获有财物，狩猎放鹰，共享安乐，乃我小国之人所幸也。”
alime gaisu,	当收之。
bi sini weile be gvnirakv, ineku dusi’ obuha,	我不念尔罪，仍授都司职，待出官缺，
genggiyen han be abka banjibuha niyalma ofi, terei mujilen -i fukjin yabuhangge, julgei enduringge mergese qi inu enqu akv,	英明汗应天而生，以其创意而行，与古圣贤无异也。
ma guwang yuwan, dade canjiyang bihe, geren be gaifi dahame jihe seme fujiyang obuha,	“马光远，尔原系参将，因率众来降，擢为副将。
genehe geren beise de emte morin buhe,	赐出征诸贝勒各马一匹。
suwe qahar -i han, ahvn deu be takarakv, doro efulembi seme mimbe baime jiqi, bi ba be ainu bilambi,	“尔等既以察哈尔汗背弃兄弟，败坏道统而前来归附我，我岂能限定地界，
tere anggala, buya niyalma sehe seme, emgeri juwenggeri temgetuleme heqen de neneme tafaka gungge niyalma be, inu jai heqen de ume afabure sehe,	即或士卒中若有一二次率先登城立功者，亦不可再令攻城。
hoxoi mergen qin wang, hoxoi erke qin wang, hoxoi fafungga qin wang heqen tuqifi amba sarin sarilafi fudehe,	和硕睿亲王、和硕豫亲王、和硕肃亲王出城，大宴饯行。
tere medege be han de alara jakade, han hendume,	告以汗，汗曰：
ere be suwende hendurengge, terei durun be bai sakini serengge,	以此告知尔等者，盖欲使尔等知其大略也。
ninggun aniya tehe.	驻守六年。
sini tere ehe be gvnirakv, buhe jui be gebu doro be gvnime benehe,	不念尔之恶，但思名节仍以女归尔。
juwe aniya mini takvraha bithe be, elqin be, han -i heqen de xuwe unggirakv bederebuhengge, dai liyou -i aisin be gidaxaha qi hono dabali kai,	不令我信使直达京城而遣还竟达二载。较大辽之欺金尚为过也。
sun de gung de daqilame fonjiqi, sun de gung bi alahakv seme gisun ubaliyaka turgunde, sun de gung de susai yan -i weile,	及询问孙得功，孙得功反云未告，是以罚孙得功银五十两。
moringga qouha nadan minggan, yafahan qouha nadan minggan, hoton weilere niyalma, hvdai niyalma nadan jakvn minggan bi seme alaha,	马兵七千，步兵七千，筑城夫役、商贾七八千。”
jai han beise -i sula hiyasa, daise janggin, juwan bayara qi wesihun, bahara niyalma oqi suje etukini,	又汗、诸贝勒下闲散侍卫、带子章京、护军以上，其有缎者许服缎衣；
terei jalin ai jobolon waka baharahv seme jailandumbi,	恐遭祸患，相率趋避，
ma xu lin, si dade giyvn men -i ki gu hergen -i hafan bihe,	“马汝霖，尔原系军门下旗鼓。
solho han -i deu be amin beile -i sirame tebuhe,	令朝鲜王之弟坐贝勒阿敏下，
qouhai boljohon de jui be unggihe,	又如期会师，遣其子来会。
jai umai medege akv,	并无消息。
neneme i jeu be gaiha dobori faksalafi unggihe qouha, mau wen lung ni tehe tiyei xan be suqufi, nikan -i qouha be ambula bahafi waha,	先于取义州之夜，分兵往攻毛文龙所居铁山，斩明兵甚众，
dorolon -i jurgan -i mujilen bahabukv kiqungge be takvrame taimiyou de dobono,	礼部启心郎祁充格先享太庙，并谕曰：
bandi ajigen, hvng baturu sini beye gurun -i emgi bi,	班迪年少，尔洪巴图鲁身居本国，
han gurun -i yadahvn be waha, bayan be waha,	汗于国中之人，不论贫富，均加屠戮，
jai geli dalingho qi dahabufi gajiha jalan -i janggin liu si’ ning ni emgi jiha efihe be, liu si’ ning ni boui niyalma gerqilehe,	后复与大凌河归附甲喇章京刘思宁赌博，为刘思宁家人告发，
qahar monggo -i han lindan, kalka be efulehe manggi, seter, angga ini gurun be gamame monggo -i non -i korqin de dosika bihe,	蒙古察哈尔林丹汗破喀尔喀之后，色特尔、昂阿携其部众往投蒙古嫩科尔沁部，
amba fujin, geren fujisa be gaifi, mama be sunja ba -i dubede fudeme genefi, amba sarin sarilafi bederehe,	大福晋率诸福晋送祖母至五里外，大宴而还。
qahar han doro akv, banjiha uksun be wame talame banjire be, sure han, amba ajige beise gemu sambi kai,	察哈尔汗不道，摧残骨肉，天聪汗及大小诸贝勒俱知之也。
si minde unenggileme akdafi mimbe hvdulame dalin de tafa sefi geli ainu bisire juxen be amasi benju sembi,	尔诚信赖我，俾我从速登岸，又何必急于索还所有诸申耶。
jai monggo de beri sirdan ume unqara seme jing hvlaqi, kemuni hvlhame unqambi,	又，屡禁售弓箭于蒙古，竟仍有盗卖者。
jui be jorime genehe makta -i sargan -i ahvn be, tabqin de genefi bahafi gajiha ninggun haha de bou iqihiyahakv, kubube lamun -i sebei de anahvnjaha,	又获为女定亲之玛克塔妻兄掠得之男丁六人，未给所获之人以房舍，即转与镶蓝旗下色黑。
tere yamji heqen -i xurdeme dedufi, jai qimari erde jifi alame, membe meni hafasa halburakv, han be dahame geneki seme jidere jakade, xanaha baru qihangga bade gene seme sindafi unggihe,	是夜，彼等环城而宿。翌日来报，我方守城官员不令我等进城，故复来降等语。汗仍令纵赴山海关，任其所往。
ere amin beile, ini ama be huwekiyebufi, ahvn han qi fakqafi, heqemu golo de tembi seme boui mou saqiha bihe,	汗父与阿敏贝勒之父兄弟二人，相处和睦。乃贝勒阿敏调唆其父，欲离兄汗而移居黑扯木地，使人伐木，以备建房。
ere be dendefi orin sain niyalma be xang yang pu de tebume unggihe,	将其二十名壮者发往尚阳堡居住，
biliktu langsu aisin juwe jiha jakvn fun benjihe.	毕礼克图朗苏进金二钱八分。
neneme jihe qouhai niyalma de, niyalma tome gvsita sirdan unggi,	先来之军士，各给梅针箭三十支。
ulan de isitala niyamniyame waha,	追射至城壕而还。
erin akv farhvn dobori oqi, bi inu generakv,	时辰不合，倘于黑夜，我亦不往。
aqame wajiha manggi, gajiha arki be han, beise de angga isibuha,	见毕，以所携酒进汗与诸贝勒先饮。
terei juleri mini beye gashvfi unggire.	我当面盟誓毕遣之还。”
bi amasi jihe manggi, daha seme niyalma takvrara jakade, yaya qi si neneme heqen qi wasifi gisureme, pan giya keu dahaha seme wesibufi xeubei obuha.	我师还，遣人招降，尔率先缱城，奏称潘家口降，擢为守备。”
deng beiguwan, iu tiyan qeng, esede tehe seme juwe beiguwan de aqan emu suje buhe,	邓备御、尤天青等人，因留守，每二备御合给缎一。
asan be wesibuhe turgun,	阿山擢升缘由：
suwe mimbe holtombi serakv,	尔疑我言为诈，
dehi susai jihe nirungge, tofohoto uksin unggi,	已派甲兵四十或五十人之牛录，今派甲兵十五人。
giyvn xeu hafan piyou iu giyan jafabuha,	又郡守朴友建被擒。
emken be tuqibuhekv waha seme han ambula saixaha,	因无一漏网，尽杀之，汗甚嘉许。
dain be nakaqi uthai jirgaqun kai,	停息干戈，便是逸乐也。
tusiyetu han dasame niyakvrafi han, beise -i elhe sain be ishunde fonjifi wajiha manggi,	土谢图汗复跪请汗与诸贝勒安毕，
ubaqi genere nadan ukanju, emu giyansi, qargi qi jihe juwan niyalma emu quwan, uheri juwan jakvn niyalma baha,	获由此遁逃之人七名及奸细一名、获由彼前来之人十名及船一艘，共获十八人；
qekqemu de hvrha seke -i dahv emke, gequheri monggorokv sindame suje -i sijigiyan emke, suje -i qamqi fakvri, emu morin de enggemu hadala tohohoi,	车克车木虎尔哈貂皮端罩一、蟒缎镶领袖缎袍一、缎衬衣裤、备鞍辔马一，
niyalmai qoktolome dabali gamara de akv	不在人之骄矜僭越也。
uge de emu hvrha sekei dahv, juwan hvrha seke, dage, sange, si’ge, houxan de emte juxen sekei dahv unggihe,	赠五哥虎尔哈貂皮端罩一，虎尔哈貂皮十，大哥、三哥、四哥、豪山等各诸申貂皮端罩一。
te jidere be nakafi sini hvdaxara bade hvdun gene,	今即停止前来，速往尔贸易处所。
suwe, aisin emu tumen yan, menggun juwan tumen yan, suje juwan tumen, moqin samsu gvsin tumen benju,	尔则送我黄金一万两、白银十万两、缎十万匹、毛青细蓝布三十万匹。
muse han -i heqen de geneqi ojorakv kai,	我等不可去王京。
dade manju gurun julgei kouli doro jurgan be umai sarkv, fukjin mujilen -i yabumbihe,	昔满洲国并不谙典故，凡事皆草创而行。
terei sirame gvsai ejete, meni meni gvsa be gaifi, ilan jergi niyakvrafi uyun jergi hengkilembi,	次固山额真等各率本旗行三跪九叩礼。
uksin saqa etufi geli adarame afambi seme hendure jakade,	岂能环甲而战耶。
tuttu waka,	“非如是也。
ere be beneme kiqungge bithesi de jakvn takvrsi be adabufi unggihe.	遣笔帖式祁充格率差役八人送之。
esei emgi buyantu be amasi takvrafi unggihe.	时遣布颜图偕还。
membe, simbe gajime jiu seme inu henduhekv,	“未令我等偕同尔去，
jai ninggun ihan, juwan honin -i yali, duin kukuri arki be han de sarilaha,	又以六牛、十羊之肉及四壶酒具宴以献。
lu geu kiyou -i qouha de juleri dosika,	率先进攻卢沟桥守军。
