input	output
san qa ho be mini jase obure,	三岔河为我界，
nenehe dergi taizu -i fonde, meni jergingge qimaha abalambi seqi, inenggi giyahvn maktambi, mumuhu feshelembi,	昔太祖时，我等得知明日出猎，即于今日调鹰蹴球，
muse de uqaraha bata be muse yala uhei hvsutuleme kiqeme afaqi, abka muse be gosime, bakein bata be gidame eberembure ohode, oihori sain kai,	除看守牲畜之人外，余众悉率之来。至于马匹，由骗马多余之人补足骗马之数。
simbe erdemungge sain seme hergen buheu,	“汤古岱，尔非汗之子乎，
uwan uyun de, sure han -i hese, tusiyetu han de bithe unggihe,	十九日，奉天聪汗命致书土谢图汗曰：
ujihe baili be gvnime, muterei teile faxxame tondoi akvmbume hvsun bu.	当念赡养之恩，益加尽忠效力。”
korsobuha ambula de, abka de habxafi dailaha,	乃因备受欺凌，故昭告天地而征讨之。
holo taxan ai baita,	虚假何用。
ini beile -i baitangga nikan seu xose sere haha be gidafi takvrambi,	隐匿其贝勒下汉人听差搜硕色役使；
gequheri juwan jakvn, undurakv ninggun, tukxan gequheri juwe tanggv gvsin emu, qekemu emu tanggv susai, genggiyen juwan uyun, pengduwan dehi jakvn,	蟒缎十八、龙缎六、牛犊蟒缎二百三十一、倭缎一百五十、石青素缎十九、彭缎四十八、
be inu gisureqi ojorakv kai,	我等欲议亦不便也。
unggihe bade kadalame akvmbuha seme fujiyang ni hergen buhe,	因于任所竭力尽职，授副将职。
gvsin dere, gvsin malu arki gama,	设席三十桌，携酒三十瓶往。
muhaliyan tuherengge bono -i gese, gabtara sirdan aga labsan -i gese,	枪炮齐鸣，震天动地，
dahaha guqu juwe niyalma de, emu niyalma de juwan moqin, emu niyalma de uyun moqin, ilan kutule de sunjata moqin buhe,	赐随从二人，一人毛青布十、一人毛青布九。跟役三人，各赐毛青布五。
dehi sunjaqi debtelin sure han -i ningguqi aniya aniya biya	第四十五册天聪六年正月
sinagan -i doroi unggihe bithei gisun,	以丧礼遗书曰：
seke tanggv,	貂皮一百；
dergi hesei k’odo de fonjiqi, k’odo -i alarangge, bou janggin, g’au janggin de sun de gung alaha sehe,	奉上谕询问阔多，阔多供称：“孙得功告于鲍章京、高章京。”
lask’ab dade monggo gurun -i karaqin -i gvsa ejelehe beile bihe,	喇思喀布，原系蒙古喀喇沁部管固山事贝勒，
yekxu gvsai burgi, kubuhe fulgiyan -i hvngniyaka, kubuhe lamun -i gasha, giui yung guwan -i angga xa tun de siuwan fu -i qouha be gidafi, ilan tanggv ninju jakvn morin baha,	叶克舒旗下布尔吉、镶红旗下洪尼雅喀、镶蓝旗下噶斯哈，于居庸关口沙屯地方击败宣府兵，获马三百六十八。
te bi amba sourin de tefi nenehe jalan -i enduringge han sebe alhvdame, eyute nota sargan juse de qe bume fungneme niyaman be gosire doro be toktobuha,	今我即大位，当效先世圣汗，册封姊妹女姪姪而定仁亲之道。
qananggi sansi goloi ping yang fu -i si ho wang duin niyalma be takvrafi, qohome liyoudung de sure han be han te seme ganafi ertele bedereme jidere unde,	前日，山西省平阳府西河王特遣四人至辽东，请天聪汗称帝，至今未归。
tuttu ofi sain be sonjome bifi, tere fujin be ganabure de ganabuha,	故选其优，遣人往聘此福晋，
ineku tere inenggi, uheri be baiqara yamun -i aliha amban jang cun xin -i wesimbuhe bithei gisun,	是日，都察院承政张存仁疏言：
dehi jakvqi debtelin sure han -i ningguqi aniya aniya biya	第四十八册天聪六年正月
ineku tere inenggi, inggvldai de unggihe bithe,	夜遣该人。
yondon -i gvsin jakvn bou, seusenghei -i uyun bou, ese emu niru, janggin -i gebu batma,	色棱二十九家、古鲁斯喀布六家，合编为一牛录，章京姓名：哈努依；
qang ping ni hoton de kalka isibuhakv,	攻昌平城时，未携至盾；
boigon talaha,	革职，
iqe sunja de, yangsimu bira de deduhe,	初五日，驻养息牧河。
ere jakvn weile -i turgunde duin tanggv yan -i weile gaiha,	以此八罪，罚银四百两，
ere gisun de mini alahangge, ere emu uquri iqengge eigen sargan minde gvwaliyakabi, ere be iqengge eigen sargan aikabade beleme alahabi dere seme henduhe sembi,	时我曾言：近日宜成格夫妇与我有隙，我疑宜成格夫妇捏言诬陷，故有此语。”
tuttu ofi abka na qahar -i han be wakalafi, qahar gurun be minde buhe,	是以天地厌察哈尔汗，以察哈尔国畀我。
takvraha elqin be waha,	且杀我使臣，
si ele kiqeme eigen de aisilame tondo be akvmbu,	尔宜勤加奋勉，助夫尽忠，
orin uyun de, houge taiji -i bou, gendur taiji be dosimbufi, emu ihan duin honin wafi, orin sunja dere dasafi sarilaha.	二十九日，豪格台吉家请根杜尔台吉，杀牛一、羊四，治筵二十五席，宴之。
suweni donjiha niyalma akdafi, mimbe amala geli ufararahv seme mujilen bahabure inu mujangga,	尔等闻之信以为真，启示我日后勿重蹈覆辙者实。
qe bithe be hvlara niyalma dergi ashan de wasihvn forome ilifi hvlame wajiha manggi, qe be ineku dere de sindambi,	宣读册文人于东侧西向立，宣读毕，仍置封册于案上，
gajiha ilan morin be gemu gaiha.	进汗马三，
uhvlja, argali gurgu waha.	获盘羊、母盘羊。
tere sarin de korqin -i dumei beile -i sargan, foloho enggemu hadala tohohoi juwe morin, sula morin juwan jakvn, honin juwan ilan, emu sekei dahv jafaha.	穆章黄台吉、色本达尔汉巴图鲁、伊尔扎木、尚嘉布、车根、巴林部满珠习礼、扎萨克图杜棱、蒙夸、古穆台吉、穆寨等，曾来朝贺元旦，
monggo -i beise hengkilere de, han ishun tebeliyehe,	蒙古诸贝勒叩拜时，汗与之相拥。
ama han -i bisire fonde, mini deu be mini emgi yabubumbihe,	彼率军启行，沃车畤叔父、萨哈勒察叔父送行，阿敏贝勒曰：
tuweri doroi bade oqi, sahaliyan dobihi amba mahala etu,	冬月人朝，许戴元狐大帽，
asut batma hvwang taiji -i jui gumushib taiji,	镶白旗拜珲岱公塔布囊之子克喜克图塔布囊、塔赖明安属下莽古尔岱霍绍齐之子鄂木布台吉、赖萨戴青之子托尔济莫台吉、
orin ningguqi debtelin wesihun erdemungge -i suqungga aniya uyun biya	第二十六册崇德元年九月
han juwe ahvn be ini boude solime ganafi, amba beile be siden de tebufi, manggvltai beile be ashan de tebufi, han ini beye be boigoji arame sarilara de,	汗遣人邀二兄至其家中，命大贝勒居中，莽古尔泰贝勒坐于侧，汗以户主礼设宴。
tere inenggi, mergen daiqing beile -i sehepe, jai emu monggo ukambi seme songgotu de gerqilefi waha,	是日，墨尔根戴青属下人色赫颇及一蒙古人欲逃，被松果图举发，杀之。
tere yamji, ma zung bing guwan, giya lang jung, yang fujiyang, meng fujiyang, zang iugi be gamafi, han, ini tehe monggo bou de dosimbufi,	是晚，汗召麻总兵官、贾郎中、杨副将、孟副将、臧游击五人至御幄，
ineku tere inenggi, han de gajihangge, ilduqi taiji juwe morin, hatan baturu emu morin, ukxan nakqu duin morin, manjusiri efu duin morin,	是日，土谢图额驸、小桑阿尔斋、翁诺依及绰诺惠、巴固勒至。
yekxu gvsai duin,	叶克舒旗四人、
iqe nadan de, han yamun de tuqifi, naiman -i hvng baturu beile de darhan -i gebu, jarut -i kabahai taiji de weijeng ni gebu buhe,	初七日，汗御殿，赐奈曼部贝勒洪巴图鲁以达尔汉名号，扎鲁特部台吉喀巴海以卫征名号。
han -i yasai tuwa,	汗应亲眼观之，
ilan biyai iqe de, han, geren beise ambasa be gaifi, dergi taizu genggiyen han de hangsi doroi weqehe.	三月初一日，清明节，汗率诸贝勒大臣依礼祭太祖英明汗之陵。
juwe weile qi wesihun gerqilefi, weihuken weile yargiyan ojoro ujen weile taxan oqi,	倘所告在两事以上，其轻者实而重者虚；
tere bithe de henduhengge,	其书曰：
fudeme dahai, kvrqan, sonin genehe bihe,	赠来使李天龙银十两，昌秀银四两。以送行礼，于浑河岸，杀一羊，宴之。
ongnogo, kekei, xakxabat, hadak, mouhai, babusai, baduhv, galo, vljei, qoktu, bayartu, munggu, onggotai, taisulai,	翁诺果、克肯、沙克沙巴特、哈达克、茂海、巴布赛、巴都虎、噶罗、谔勒哲依、绰克图、巴雅尔图、孟固、翁果泰、泰苏赖。
gurgu be gabtaha iqi yargiyan taxan be xajin de duile,	可下法司审验射兽方位之虚实。
morin orin nadan, ihan ilan, deji hehe uyunju jakvn, seke sunja tanggv ninju emu, sekei iqu orin ilan, sekei jibqa ninggun,	马二十七、牛三、上等妇女九十八口、貂皮五百六十一、貂皮筒子二十三、貂皮袄六、
weile araha niyalma be suwe tubade waqihiya sehe.	其犯罪之人，尔等可就地了结。”
mutebure qin wang de weile -i turgunde emu minggan yan -i weile gaisu,	成亲王亦因罪罚银一千两。
sonin, ajuhv tukiyehe yali be angga isikakv uthai tuqike manggi, tusiyetu han uthai sereng taiji, danggalai be takvrafi hendume,	索尼、阿珠虎不食而出。土谢图汗急遣台吉塞冷、党阿赖曰：
henduhe nergin de inu seme alime gaifi, tatan de genehe de, henduhe gisun be onggofi ekisaka biqi, qouhai niyalma faquhvn yabure weile ararangge tuttu kai,	此行既蒙天佑，诸凡俘获之人，倘离散其父子、夫妻，掠取其衣服，其恶尤甚。
morin duin feye baha,	马伤四处。
tere niyalmai kasara basara sere juwe yendahvn, ejen de dafi, jolo hutu -i emgi jafunuhai, jolo hutu be saime wafi, ejen -i ergen be tuqibufi boude bedereme jidere de,	其人有二犬，一日喀萨尔，一日巴萨尔，助其主人，与厉鬼相搏，将鬼咬毙，救主归家。
gequheri suje -i jibehun sishe duin jergi, aisin -i monggolikv emke, fadu emke, amba sifikv ilan, ajige sifikv ilan, suihun emu jergi, guifun ninggun,	蟒缎及缎被褥四套，金项圈一，荷包一、大簪子三，小簪子三，耳坠一副，戒指六；
ineku orin sunja de, gulu suwayan -i gvsa, kubuhe suwayan -i gvsa, gulu fulgiyan -i gvsa, kubuhe fulgiyan -i gvsa, kubuhe lamun -i gvsa, ere sunja gvsai emu gvsa de emte amban tuqibufi, emu nirui ilata uksin afabufi, solho -i wang be kame genehe hoxoi erke qin wang ni jakade qouha nonggime unggihe.	是日，命正黄、镶黄、正红、镶红、镶蓝五旗各出大臣一员，率每牛录甲士三人，前去增援往围朝鲜王之和硕豫亲王。
joriha jurgan be jurqerakv, afabuha weile be mutembi, kiqebe sain seme ilaqi jergi jalan -i janggin be jai jergi jalan -i janggin obuha,	以不负委任，恪尽厥职，勤勉可嘉，升三等甲喇章京为二等甲喇章京，
juwan ninggun de, musei jafafi ujihe nikan be k’ai ping ni douli de takvraha,	十六日，遣所获汉人赍书遗开平道
gvsin juweqi debtelin sure han -i duiqi aniya jakvn biyaqi jorgon biyade isinahabi	并令途中每日早晚供应一羊，十只鸡，一瓶烧酒。并赐伊等羊一只携往。
han tuwafi juwe mama de emte gequheri etuku, juwete suje buhe,	扎萨克图杜棱、满珠习礼、达尔汉洪巴图鲁各蟒缎一、缎二。
ere aniyai teile udaki,	仅今岁购之。
afaha weile de kiqebe seme geli wesibufi iugi -i hergen buhe,	因勤于厥职，又擢为游击。
te biyan zi sing gebungge niyalma giyansi jihe be bahafi fonjiqi, inu aqarangge taxan, lama be unggirakv tebuhe sembi,	今获奸细卞子兴讯问，亦称和好是假，羁留喇嘛不遣等语。
tofohon de, qouha genehe amin beile, lungsi be takvrame,	“汗勿远迎，
gulu suwayan -i qilin de tehe suldungga.	正黄旗驻铁岭之人苏尔东阿，
tere inenggi, gu an hiyan hoton -i aisin menggun sain ulin be bargiya seme, emu gvsai emte ulin -i niyalma be unggihe.	是日，每旗遣库使一人，往收固安县城金银财帛。
bi han de wesimbufi baiqabure jakade, pu -i niyalma be, be douli ini qisui gintaisi de dere arame aisilahabi,	我遂奏帝查之，知系白道员徇私，擅命堡中人援助锦泰希。
han -i boui qigu be, ereqi amasi qigu seme ume hvlara, manju gisun -i hvlaqi, faidan -i janggin, nikan gisun -i hvlaqi, ki xeu wei -i j’i hvi seme hvla,	“汗宫内旗鼓，嗣后勿称旗鼓，以满洲语呼之为‘法依丹章京’，以汉语呼之为‘旗手卫指挥’。
iqe nadan de, han, niu juwang hoton sahara alban -i niyalma be joboho, wafi jekini seme dehi ihan benebuhe.	初七日，汗以牛庄筑城夫役劳苦，给牛四十，遣人往送，令筑城夫役宰而食之。
bata de nikenefi buqehe kirui ejen, janggin, tu jafaha niyalma de juwete tanggv yan buhe,	其赴敌死者，小旗长、章京及执大纛人，各赏银二百两；
ama dergi taizu, abkai hese be alifi forgon be mukdembuhe gurun -i ten be fukjin ilibuha ferguwequke gungge gosin hiyouxungga horonggo enduringge hvwangdi,	“于皇考太祖承天广运圣德神功肇纪立极仁孝武皇帝并
ere niyalma de umai mejige akv.	此人并未带有其他消息。
enduringge han aikabade xun biya -i gese genggiyen -i bahanaqi, minde tumen urgun kai,	圣汗明鉴若日月，实臣之万幸也。
iqe juwe de, hogosutai -i angga hara aruk de deduhe.	初二日，驻跸果果苏泰河口哈喇阿鲁克。
juwan juwe de, kamtu, enggedei be amasi doroi baturu giyvn wang, bayan beile de takvraha,	十二日，遣喀木图、恩格德依赍敕还谕多罗武英郡王、饶余贝勒。
ese emu nirui emte bayara be gaifi, adun -i tulergi be fiyanjilame aralai de tenehe.	率每牛录护军一，赴阿喇赖地方驻守，以护畜群外侧。
narhvn bithei yamun -i aliha bithei da fan wen qeng,	国史院学士罗硕、
hvsita nirui janggin,	呼西塔系半个牛录章京，
emu beyei teile jiqi, bai gosime ujimbi,	倘小民杀官吏来归，则量功授职；
afaha weile de kiqebe seme wesibufi beiguwan -i hergen buhe,	因恪尽厥职，擢为备御。
tere inenggi, kvrqan baksi, dayaqi tabunang, muqengge, siuwan fu -i xen du tang, dung zung bing guwan de sung lii benjihe karu seme, han -i juwe morin benehe bihe,	是日，先是，汗备马二匹，遣库尔禅巴克什、达雅齐塔布囊及穆成格回赠宣府沈都堂、董总兵官，以答谢其送礼之情。
nikan -i emgi aqarakvqi, musei irgen ini qisui buqeme samsime wajimbi,	若不与明和，我民自必散亡殆尽。
dailaqi gurun -i jobolon atanggi wajimbi,	战则国民罹祸，何时可已。
ganggina nirui janggin,	刚济纳系牛录章京，
liyoudung ni ambasa yehe de dafi membe wara de isifi, hafirabufi abka de habxafi dailaha,	乃因辽东之臣偏助叶赫来侵我等，迫不得已，告天征之。
juwan -i da, funde boxokv, ajige boxokv, wang sai ilaqi jergi hiya -i sargan gaijara, urun gaijara yengsi de ilan honin, arki nure jakvn malu,	什长、分得拨什库、小拨什库、诸王之三等侍卫娶妻、娶媳设宴，准宰羊三，备酒八瓶；
niu juwang de anafu tenehe de, monggo -i ukanju be amqafi yoto beile, sahaliyen beile, namtai -i juleri yafahalafi dosifi niyalma waha,	前往牛庄戍守时，追蒙古逃人，于岳托贝勒、萨哈廉贝勒及纳穆泰前徒步冲人，斩逃人。
jai takvrara hafan niyalma i jeu -i hvdai adali ohode, amargi irgen -i hvsun muterakv ombi,	倘所遣官人等皆照义州贸易而行，则北方民力所不及。
fulahvn gvlmahvn sure han -i suqungga aniya, solho gurun be dailaha,	天聪元年，岁在丁卯，征伐朝鲜国。
fulgiyan funiyesun juwan juwe, quse juwan uyun, suje duin minggan ninggun tanggv uyun, etuku duin tanggv ninju nadan,	红褐子十二、绸子十零九、缎四千六百零九、衣服四百六十七、
olji morin orin ilan, seke jibqa juwan uyun, dobihi jibqa duin, dobihi jibehun emke, solohi jibqa ilan, ulhu jibqa ilan, elbihe jibqa juwe, oho -i dehele ilan,	所获马二十三、貂皮袄十九、狐皮袄四、狐皮被一、黄鼠狼皮袄三、灰鼠皮袄三、貉皮袄二、齐肩短马褂三、
jalan -i janggin, bayarai jalan -i janggin, ashan -i amban, han -i jai jergi hiya, wang sai uju jergi hiya -i sargan gaijara, urun gaijara yengsi de ninggun honin, arki nure tofohon malu, jakvn dere,	甲喇章京、护军甲喇章京、副承政、汗之二等侍卫、诸王之头等侍卫娶妻、娶媳设宴，准宰羊六，备酒十五瓶，设席八桌；
zu zung bing guwan -i emgi dahaha seme ilaqi jergi meiren -i janggin obuha,	尔随祖总兵官归降。是以援为三等梅勒章京，
mau wen lung, aisin gurun -i han -i tu -i fejile niyakvrame bithe isibumbi,	毛文龙拜金国汗纛下致书。
nikan, xurgei niyalma de donjibuqi, tumet -i niyalma de ulame alambi seme, tuttu xurgei niyalma de donjiburakv holkonde tuqifi wahabi,	倘为杀虎口之人得悉，必传告于土默特人。是以明国不令杀虎口人得知，即突然出兵袭杀之。
tofohon de, an jeu be halafi neihe heqen -i duka sehe.	十五日，改安州为开城门。
bi han de dahafi ukandara ubaxara be, abka na de akdulame gashvki,	至汗或杀或养，
hvlara hafan ili seme hvlaha manggi, enduringge han, geren gemu ilimbi,	赞礼官赞起立，圣汗及众皆起立。
ubai deute juse, geren hafan qouha -i jalin ume joboro,	勿为此处之子弟及众官兵忧虑，尽
doro be kiqeme dasara, irgen be gosime ujire, gurun irgen elhe taifin oqi,abka gosifi se jalgan golmin ombidere,	“若勤求治道，爱养人民，国泰民安，则上天眷佑，寿命延长，
juwan juweqi dobton taizung hvwangdi -i wesihun erdemungge -i suqungga aniya duin biyaqi sunja biyade isinahabi	第十二函太宗皇帝崇德元年四月至五月
giuhoto nirui hontoho janggin,	觉霍托系半个牛录章京，
monggo -i qahar han erdemungge sain jurgan be yaburakv, ambasai gisun de dosifi mini baru dain ofi bi dailara jakade,	蒙古察哈尔汗，仁德不修，听信大臣之言，与我构兵，我发兵征之，
han dulimbade tehe,	汗坐于中，
balai samsime burulafi mini qouha de uqaraha de waburahv,	若妄自散逃，恐遇我军见杀。
jou dere,	罢了。
hvdun bedereqina,	宜速撤回。
abkai gamara dube be ainambahafi sara,	官员马匹，其堪乘者止六十余匹等语。
morin juwe tanggv gvsin baha,	获马二百三十匹，
gurun -i ejen fujin -i taqibure be dahame gingguleme yabu,	谨遵国君福晋训诲，
hvrha de qouha genefi baha ilan tanggv gvsin hvrha be sunja lou de horifi,	往征虎尔哈部，俘获三百三十人，分囚五牢，
ninggun aniya tehe.	驻守六年。
bata kemuni enggelqeme sabumbihebi,	实则仍见有敌。
aisin gurun -i kouli aniya arara de, jorgon biyai orin uyun de nenehe mafari de waliyambihe,	金国定例，年逢腊月二十九日，祭奠先祖。
juwe ahvn hendume, han jiu serakv be hendumbi dere,	二兄曰：“汗不召则已，
mini unggihe umiyesun be jafafi songgome, bi han -i juleri qahar -i qouha de emgeri ferguwebume dosiki sehe bihe,	闻彼执我所赠金腰带泣曰：征察哈尔时，我曾欲于汗前奋进，期获嘉奖，
morin be gemu gaiha,	十二日，孙杜棱杀八羊，携至酒二背壶、马一，达赖楚虎尔携至马一，前来为汗饯行，
sourin be siraha hiyouxulara jui beyei funde ambasa be takvrafi niyakvrafi wesimbure gisun,	即位孝子，遣官跪奏：
erei emgi jihe xusai siui pi de emu hehe, emu etuku xangnaha.	同来之生员许丕，亦赏一衣一妇。
han ejen, abkai arbun be yargiyalaki seme marame ohakv,	今岁各部贝勒以新年礼前来朝贺，乘此机会，咸集盛京城。我等共商，议定汗主尊号。
amba giyai kuru ba oqi bikini, nuhaliyan sangga be jalukiyame neqihiye sehe babe, hese be jurqeme	“大街之高突处留之，其沟洼处填平之。”乃竟违旨，
juwe yafahan be jafafi gajiha,	执二人携还。
lai xui hiyan de qouha aqafi gidaha,	又于涞水县遇敌兵，合兵败之，
terei sirame dalai qvhur, dasi, baisa taiji, gumu, bumbu qvhur, guru, han de aqara de, aldangga emu jergi niyakvrafi hengkilehe,	当达拉海、纳玛西奇、德呼克依见时，汗与诸贝勒坐而受之，并行抱见礼。
u ging dou eihen yalufi zu janggin -i juleri yabuha,	吴景道乘驴行于祖章京前，
zun hvwa de tehe juwete uksin be halarangge, uba -i orita uksin qi fulu oqi, nendehe gisun -i songkoi hala, uksin isirakv oqi, fe tehe juwete uthai bikini,	至驻遵化甲兵，每二甲兵，宜令更换，但彼处甲兵若多于此处二十甲兵，可照原议更换。甲士若不足，可将原驻二人留驻
wei de lii, dade nikan -i pan giya keu de bai niyalma bihe,	魏德礼，原系明潘家口平民，
tere boui niyalma gemu sambi,	该家之人尽知之。
heqen geqefi saqiha ba tuhekekv ofi qouha bederehe,	时因城墙结冻，摧之未毁，是以班师。
solho -i tulergi goloi qouha ini wang be kafi bi seme donjifi, emu du tang emu tumen jakvn minggan qouha gaifi dame jifi, juwe kuren ing ilifi bihe be, xoto beise, nikan beise, bohoto beise, loto beise, asidarhan nakqu sede qouha bufi unggifi gidafi gemu waha,	朝鲜外道兵闻其王被围，有都堂一员率兵一万八千人来援，分兵两队扎营。时遣硕托贝子、尼堪贝子、博和托贝子、洛托贝子、舅舅阿什达尔汉等，率兵往击，尽斩之。
durben keuket darhan joriktui qinuwa, bujai susai juwe uksin, jebele ashaha kutule tofohon, bai kutule uyun,	四子部落达尔汉卓里克图下齐努瓦、布寨率甲兵五十二人、佩撒袋跟役十五人、无械跟役九人，
fiyanggv gvsai morin losa jakvn tanggv dehi, ihan eihen duin minggan duin tanggv ninju, niyalma sunja minggan ninggun tanggv, honin juwe minggan, uheri emu tumen juwe minggan uyun tanggv ninggun.	费扬古旗，马骡八百四十、牛驴四千四百六十、人五千六百、羊二千，共计一万二千九百零六。
ese neneme daqi dain de yabuha gung ambula bi,	苏鲁麦、杨古利、尼堪、雅赖、察巴海、布尔吉。塔兰与赖珠虎合，塔兰二分，赖珠虎一分。
sarin wajitala han, amba beile de ilan jergi, manggvltai beile de emu jergi arki jafaha,	至宴终，汗酌大贝勒者三，酌莽古尔泰贝勒者一。
juwan duin de, nikan de helen jafame, bayarai sain qouha emu tanggv tuqibufi unggihe,	十四日，遣精选护军百人往明地捉生，
du -i haha hehe udu qouha dain -i jobolon yamji qimari isinjire be sambi seme, elemangga umesi lashalara be dele obuhabi,	都中男女虽知兵戈之祸在于旦夕，反以决断为上策。
nikan serengge, enqu haqin -i gurun kai,	诸申、蒙古，乃相同之国，
godos, jalait nadan taijisa darhan taiji -i juse de sain niyalma tuqibufi elqin takvrafi,	选精明者出使郭尔罗斯、扎贲特七台吉及达尔汉台吉之子处，
abkai buhe zun hvwa, yung ping, luwan jeu, qiyan an be tuwakiya seme, emu nirui ilata bayara, orita uksin, neneheqi ambula qouha be unggifi,	蒙天眷佑，克其坚城，尽斩其所号天下之雄兵于各地。
asan feye bahafi ahvn deu fakqafi genere de, adahai be mungtan amqanafi niyamniyame dosire de, adahai ishun jurqeme dosifi mungtan be saqime tuhebufi elekei buqehe,	阿山被创，兄弟离散。时孟坦追射阿达海，阿达海迎战，砍孟坦坠马，几乎殒命，
orin nadan de, jang giya keu de takvraha kvrqan baksi, ui jaisang, loxo sei emgi	二十七日，随同先前遣往张家口之库尔禅巴克什、卫斋桑、罗硕等
heqen -i dorgi irgen ambula burgiha,	城内居民惊恐大乱。
xanggiyan muxuri juwe tanggv, xanggiyan boso duin tanggv, nonggihangge juwe tanggv, fulgiyan baso ilan tanggv, yaqin baso ilan tanggv,	白高丽夏布二百、白布四百又增加二百、红布三百、青布三百、
gvsin de, hoxoi erke qin wang, doroi yoto beile, jergi qi lakqaha ujui gung yangguri efu, juleri qouhiyan gurun -i wang be kame jifi, tulergi goloi dame jihe qouha be gidafi, baha tu kiru loho gida beri sirdan miyouqan be faidafi, morin be gvsa gvsai faidame jafafi enduringge han de tuwabuha,	三十日，和硕豫亲王、多罗贝勒岳托、超品一等公杨古利额驸，先来围朝鲜国王，败其外道来援之兵，将所获纛、旗、刀、枪、弓、箭及鸟枪悉行陈列，马匹按旗排列，献圣汗阅。
heqen -i dorgi yaya hafasa qouhai niyalma, suwe yuyume katame buqere anggala, futa -i wasime jiu,	“城内一应官兵，尔等与其饥困而死，不如缒城来降，
amasi jidere de bata musei niyalma be boxome gajire de, geli dosifi tuqibuhe,	又倡先击敌。归时，见敌兵追我兵，即往救出。
amba koro ere nadan,	我之大恨，有此七件，
uyun duka be kadalara wang taigiyan, qa yuwan emke, fujiyang ilan, canjiyang juwe, xeubei emke, tung pan emke, doron jafaha hafan juwan juwe, hv bu juwe bihe,	管九门之王太监、察院一员、副将三员、参将二员、守备一员、通判一员、掌印官十二员、户部官二员。
aba qouha de, mini hese be tuwame yabu sehe.	凡遇随猎从征，着候旨行。”
han, beise hebdeme gisurefi,	至是，汗与诸贝勒商议，
ere be bithei yamun -i jang ing kui sambi,	此事，文馆张应魁知之。
tanggv bouqi fusihvn juwan bouqi wesihun juxen oqi, juwan morin juwan ihan, tanggv honin bumbi,	若所隶诸申在百户以下、十户以上，则给马十、牛十、羊一百。
be yan, dade jung giyvn bihe,	“白彦，尔原系中军，
dalingho de pou gaiha emu mudan, geren -i afaha emu mudan, ere juwe mudan de niru be gaifi afaha,	于大凌河之役，夺炮一次，与众人攻战一次。该两次均率牛录战之。
pou miyouqin sindame, aga labsan -i gese gabtame afahai, musei gabtara de nikan dosorakv arkan seme axxafi burulaha,	于是，营兵推战车近敌，纵马兵发矢冲击，明兵仍不动。
amasi jime dung ging de isinjiha manggi, han de deji tuqibufi gajire sain hehe be, i gaimbi sere jakade, yoto taiji hendume,	此其二也。
juwan jakvn de, hoxoi sure qin wang de amba nadan waliyara de, geren hoxoi qin wang, doroi giyvn wang, gvsai beise se, bithe qouhai geren hafasa genefi dorolome waliyaha.	十八日，大祭，和硕颖亲王、诸和硕亲王、多罗郡王、固山贝子及文武官员俱往祭奠。
duin morin baha,	获马四。
emu hafan be jafaha,	擒官一员，
adai -i gvsai laihv tatan de tehe inenggi, gandu nirui emu niyalma be faquhvn yabubufi wabuhabi,	阿岱旗下赖虎于驻营之日，纵甘都牛录下一人乱行，致其被杀。
uju jergi tuqike morin de orin kiyan dambagu, tereqi ilhi ilhi eberembume juwanqi jergi dubei morin de juwan kiyan dambagu buhe,	第一名赏烟二十刀，以下依次递减，至第十名赏烟十刀。
kouli selgiyere yamun -i aliha bithei da hife, narhvn yamun -i aliha bithei da fan wen qeng, tukiyehe niyalma enggedei donjifi,	谓岂有此例，莫非匪人捏造谣言，奏闻圣汗。
tereqi han, beise, suwayan qaqari de tehe,	诸蒙古贝勒及我汗、诸贝勒拜天，行三跪九叩礼。
sunjaqi debtelin wesihun erdemungge -i suqungga aniya ilan biya	第五册崇德元年三月
emu xusai be bahafi, hoton -i ejen douli, qouhai hafasa, geren irgen be daha sere bithe jafabufi unggihe,	获一生员，令持书往谕驻城道员、军官及庶民降。
si ainara,	尔亦无可奈何。
orin emu de, wasimbuha bithei gisun,	二十一日，颁书谕云，
jalan niru de yaburakv niyalma, amala tutafi yaburengge be gemu jafa seme henduhe.	凡不随甲喇、牛录行走及逗留于后者，悉行执之。”
juwan nadan de, isinjiha lousa xongkoro baturu emu tanggv orin uksin be gaifi, nikan -i jasei i jeu -i ebergi be dosifi duin nikan bahafi, ilan nikan be waha,	十七日，劳萨硕翁科罗巴图鲁至。该员率甲兵一百二十人，进明界义州以内地方，获汉人四，杀其三，
wang zi deng serebuhe de ergen gukumbi kai,	王子登一旦被发现，则性命不保矣。
hehe hafan niyakvrame alime gaifi, gamafi dergi ashan -i ijishvn fujin de alibume bure de, fujin niyakvrame alime gaifi,	女官跪受之，奉献于东宫侧福晋淑妃。福晋跪受，
uju jergi de mafuta nirui tukiu de juwe hehe, emu sargan jui, gvsin seke, emu morin, juwe ihan, dabixakv etuku emke, orin moqin,	列为一等者：马富塔牛录下图球妇女二、幼女一、貂皮三十、马一、牛二、齐肩衣一、毛青布二十；
tere gvniha be gemu onggofi bahara de dosifi, beyebe ergembume ainu tatan de teqefi saburakv,	何顿忘初衷而一味贪得，苟且偷安不出行营耶。
suje nure gingneme dobofi gingguleme dorolome weqehe,	捧举帛酒，敬谨致祭。
tere anggala, julgeqi ebsi wesike, wasika ai kouli,	且自古以来，或兴或衰，
gasha be ni gidaha turgun,	噶斯哈叙功缘由：
